idx_episode,score,score_mave100,experiment
442,14.0,9.73,dqn:v02
443,13.0,9.8,dqn:v02
444,7.0,9.76,dqn:v02
445,11.0,9.84,dqn:v02
446,12.0,9.93,dqn:v02
447,14.0,10.04,dqn:v02
448,9.0,10.12,dqn:v02
449,10.0,10.15,dqn:v02
450,13.0,10.25,dqn:v02
451,11.0,10.28,dqn:v02
452,11.0,10.35,dqn:v02
453,15.0,10.46,dqn:v02
454,15.0,10.56,dqn:v02
455,19.0,10.72,dqn:v02
456,14.0,10.76,dqn:v02
457,6.0,10.78,dqn:v02
458,8.0,10.81,dqn:v02
459,14.0,10.85,dqn:v02
460,9.0,10.9,dqn:v02
461,11.0,10.89,dqn:v02
462,12.0,10.89,dqn:v02
463,5.0,10.88,dqn:v02
464,11.0,10.93,dqn:v02
465,2.0,10.85,dqn:v02
466,12.0,10.84,dqn:v02
467,7.0,10.83,dqn:v02
468,16.0,10.91,dqn:v02
469,11.0,10.88,dqn:v02
470,12.0,10.94,dqn:v02
471,15.0,11.03,dqn:v02
472,8.0,11.04,dqn:v02
473,11.0,11.01,dqn:v02
474,10.0,10.99,dqn:v02
475,10.0,11.05,dqn:v02
476,5.0,10.93,dqn:v02
477,13.0,10.97,dqn:v02
478,6.0,10.92,dqn:v02
479,16.0,10.94,dqn:v02
480,13.0,11.03,dqn:v02
481,11.0,11.03,dqn:v02
482,10.0,10.98,dqn:v02
483,9.0,10.97,dqn:v02
484,8.0,10.97,dqn:v02
485,11.0,10.91,dqn:v02
486,10.0,10.91,dqn:v02
487,9.0,10.89,dqn:v02
488,6.0,10.89,dqn:v02
489,6.0,10.85,dqn:v02
490,8.0,10.82,dqn:v02
491,9.0,10.81,dqn:v02
492,10.0,10.83,dqn:v02
493,6.0,10.78,dqn:v02
494,12.0,10.82,dqn:v02
495,6.0,10.73,dqn:v02
496,3.0,10.6,dqn:v02
497,6.0,10.54,dqn:v02
498,11.0,10.6,dqn:v02
499,14.0,10.66,dqn:v02
500,12.0,10.65,dqn:v02
501,15.0,10.73,dqn:v02
502,8.0,10.68,dqn:v02
503,4.0,10.65,dqn:v02
504,9.0,10.67,dqn:v02
505,12.0,10.68,dqn:v02
506,14.0,10.73,dqn:v02
507,11.0,10.7,dqn:v02
508,11.0,10.69,dqn:v02
509,13.0,10.69,dqn:v02
510,14.0,10.69,dqn:v02
511,4.0,10.58,dqn:v02
512,11.0,10.61,dqn:v02
513,11.0,10.61,dqn:v02
514,17.0,10.64,dqn:v02
515,6.0,10.6,dqn:v02
516,13.0,10.62,dqn:v02
517,15.0,10.6,dqn:v02
518,4.0,10.51,dqn:v02
519,16.0,10.56,dqn:v02
520,17.0,10.65,dqn:v02
521,19.0,10.76,dqn:v02
522,17.0,10.79,dqn:v02
523,17.0,10.88,dqn:v02
524,5.0,10.82,dqn:v02
525,18.0,10.86,dqn:v02
526,16.0,10.93,dqn:v02
527,12.0,10.97,dqn:v02
528,8.0,10.91,dqn:v02
529,22.0,11.04,dqn:v02
530,16.0,11.07,dqn:v02
531,15.0,11.12,dqn:v02
532,18.0,11.15,dqn:v02
533,22.0,11.26,dqn:v02
534,19.0,11.33,dqn:v02
535,13.0,11.29,dqn:v02
536,8.0,11.26,dqn:v02
537,13.0,11.26,dqn:v02
538,9.0,11.27,dqn:v02
539,14.0,11.32,dqn:v02
540,15.0,11.39,dqn:v02
541,16.0,11.45,dqn:v02
542,17.0,11.48,dqn:v02
543,17.0,11.52,dqn:v02
544,14.0,11.59,dqn:v02
545,18.0,11.66,dqn:v02
546,10.0,11.64,dqn:v02
547,17.0,11.67,dqn:v02
548,6.0,11.64,dqn:v02
549,16.0,11.7,dqn:v02
550,9.0,11.66,dqn:v02
551,10.0,11.65,dqn:v02
552,21.0,11.75,dqn:v02
553,8.0,11.68,dqn:v02
554,14.0,11.67,dqn:v02
555,14.0,11.62,dqn:v02
556,17.0,11.65,dqn:v02
557,14.0,11.73,dqn:v02
558,15.0,11.8,dqn:v02
559,12.0,11.78,dqn:v02
560,13.0,11.82,dqn:v02
561,11.0,11.82,dqn:v02
562,14.0,11.84,dqn:v02
563,5.0,11.84,dqn:v02
564,11.0,11.84,dqn:v02
565,10.0,11.92,dqn:v02
566,18.0,11.98,dqn:v02
567,15.0,12.06,dqn:v02
568,17.0,12.07,dqn:v02
569,16.0,12.12,dqn:v02
570,14.0,12.14,dqn:v02
571,6.0,12.05,dqn:v02
572,16.0,12.13,dqn:v02
573,13.0,12.15,dqn:v02
574,7.0,12.12,dqn:v02
575,14.0,12.16,dqn:v02
576,18.0,12.29,dqn:v02
577,15.0,12.31,dqn:v02
578,5.0,12.3,dqn:v02
579,22.0,12.36,dqn:v02
580,14.0,12.37,dqn:v02
581,17.0,12.43,dqn:v02
582,15.0,12.48,dqn:v02
583,11.0,12.5,dqn:v02
584,9.0,12.51,dqn:v02
585,9.0,12.49,dqn:v02
586,15.0,12.54,dqn:v02
587,17.0,12.62,dqn:v02
588,10.0,12.66,dqn:v02
589,24.0,12.84,dqn:v02
590,22.0,12.98,dqn:v02
591,13.0,13.02,dqn:v02
